,              precision    recall  f1-score   support
0,           0       0.96      0.96      0.96      1383
1,           1       0.95      0.98      0.96      1569
2,           2       0.90      0.90      0.90      1357
3,           3       0.91      0.89      0.90      1467
4,           4       0.93      0.93      0.93      1362
5,           5       0.88      0.87      0.88      1247
6,           6       0.95      0.95      0.95      1407
7,           7       0.92      0.93      0.93      1382
8,           8       0.91      0.88      0.89      1375
9,           9       0.89      0.90      0.90      1451
10,    accuracy                           0.92     14000
11,   macro avg       0.92      0.92      0.92     14000
12,weighted avg       0.92      0.92      0.92     14000
