,              precision    recall  f1-score   support
0,           0       1.00      0.95      0.97        41
1,           1       0.92      1.00      0.96        35
2,           2       1.00      0.97      0.98        32
3,           3       0.98      1.00      0.99        43
4,           4       0.90      1.00      0.95        19
5,           5       0.97      0.97      0.97        40
6,           6       1.00      1.00      1.00        28
7,           7       0.97      1.00      0.99        37
8,           8       0.95      0.92      0.93        38
9,           9       1.00      0.94      0.97        47
10,    accuracy                           0.97       360
11,   macro avg       0.97      0.98      0.97       360
12,weighted avg       0.97      0.97      0.97       360
