,precision,recall,f1-score,support
0,1.0,0.9473684210526315,0.972972972972973,19.0
1,0.72,0.9,0.7999999999999999,20.0
2,0.84,0.84,0.8399999999999999,25.0
3,0.7083333333333334,0.8947368421052632,0.7906976744186046,19.0
4,1.0,0.8695652173913043,0.9302325581395349,23.0
5,0.8823529411764706,0.6521739130434783,0.75,23.0
6,0.8421052631578947,1.0,0.9142857142857143,16.0
7,0.7777777777777778,0.7368421052631579,0.7567567567567567,19.0
8,0.75,0.8,0.7741935483870969,15.0
9,0.8888888888888888,0.7619047619047619,0.8205128205128205,21.0
accuracy,0.835,0.835,0.835,0.835
macro avg,0.8409458204334366,0.8402591260760598,0.8349652045473501,200.0
weighted avg,0.8466028981768146,0.835,0.8350285670058739,200.0
