,precision,recall,f1-score,support
0,0.140625,0.9473684210526315,0.24489795918367346,19.0
1,0.5135135135135135,0.95,0.6666666666666667,20.0
2,0.0,0.0,0.0,25.0
3,0.5,0.05263157894736842,0.09523809523809525,19.0
4,1.0,0.043478260869565216,0.08333333333333333,23.0
5,0.0,0.0,0.0,23.0
6,0.0,0.0,0.0,16.0
7,0.2,0.3157894736842105,0.24489795918367346,19.0
8,0.0,0.0,0.0,15.0
9,0.0,0.0,0.0,21.0
accuracy,0.225,0.225,0.225,0.225
macro avg,0.23541385135135134,0.23092677345537757,0.13350340136054423,200.0
weighted avg,0.24621072635135136,0.225,0.13182823129251703,200.0
